16.1068;4.71685;22.295
16.1104;4.71883;22.306
16.108;4.71883;22.3
16.1003;4.71867;22.297
16.0749;4.71872;22.3
16.0391;4.71844;22.296
15.8521;4.69228;22.233
15.8513;4.69229;22.233
15.8393;4.69234;22.232
15.8451;4.69226;22.221
15.8547;4.69228;22.223
15.8671;4.6924;22.23
15.7643;4.68425;22.149
15.7747;4.68423;22.147
15.777;4.68425;22.149
15.7607;4.68432;22.15
15.7485;4.68442;22.14
15.7425;4.6844;22.14
15.7666;4.68519;22.096
15.7638;4.68544;22.095
15.7623;4.68559;22.099
15.7591;4.6857;22.097
15.7597;4.68578;22.097
15.7609;4.68583;22.109
15.7692;4.68387;22.096
15.7724;4.6841;22.095
15.774;4.68426;22.097
15.7747;4.6844;22.095
15.7719;4.68451;22.089
15.7695;4.68462;22.094
15.7967;4.68727;22.111
15.7988;4.68738;22.115
15.8004;4.68743;22.118
15.802;4.68749;22.111
15.8043;4.68757;22.115
15.8054;4.68768;22.112
15.8863;4.69671;22.149
15.8865;4.69678;22.142
15.8876;4.69682;22.151
15.8908;4.69691;22.167
15.8909;4.69697;22.16
15.8904;4.69707;22.156
15.9931;4.7072;22.219
15.9937;4.70731;22.221
15.9954;4.70743;22.233
15.9959;4.70753;22.215
15.9966;4.70763;22.23
15.9973;4.70771;22.231
16.4882;4.75131;22.331
16.4671;4.75163;22.326
16.5727;4.75208;22.345
16.5559;4.75319;22.333
16.5288;4.75452;22.332
16.5325;4.75556;22.329
16.4527;4.75145;22.396
16.455;4.75167;22.388
16.4384;4.7517;22.389
16.4466;4.75165;22.41
16.4305;4.75146;22.39
16.4322;4.75123;22.395
16.0633;4.71257;22.467
16.0616;4.71255;22.465
16.068;4.71263;22.459
16.0782;4.7127;22.469
16.0764;4.71283;22.454
16.0776;4.71295;22.467
16.1747;4.72365;22.471
16.171;4.72368;22.464
16.1718;4.72363;22.449
16.1721;4.72359;22.46
16.1719;4.72372;22.47
16.1735;4.72375;22.46
16.1338;4.71782;22.44
16.1326;4.71791;22.436
16.1351;4.71798;22.439
16.1326;4.71801;22.437
16.1302;4.71808;22.423
16.1279;4.71813;22.438
16.0903;4.71518;22.361
16.0899;4.71543;22.353
16.0914;4.71563;22.367
16.0941;4.71566;22.367
16.0958;4.71571;22.367
16.0957;4.71576;22.363
16.1548;4.72148;22.285
16.1552;4.72177;22.276
16.1566;4.72199;22.276
16.1576;4.72213;22.272
